exp;video;id;mother track;daughter track(s);metaphase frame - mitosis video;cytokinesis frame - mitosis video;first MT cut frame - mitosis video;second MT cut frame - mitosis video;metaphase frame;cytokinesis frame;first MT cut frame;second MT cut frame;position midbody x;position midbody y;first MT cut time;second MT cut time;;matched cytokinesis frame;matched cut frame;matched position midbody x;matched position midbody y
EXP1;CEP55-8;11;0;133;9;12;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;139;142;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;CEP55-8;12;21;116;7;11;31;32;119;123;143;144;194;992;200;210;;123;172;182;1029
EXP1;CEP55-8;13;6;107;7;12;TOO_SHORT_CUT;TOO_SHORT_CUT;102;107;TOO_SHORT_CUT;TOO_SHORT_CUT;1339;373;;;;107;146;1339;380
EXP1;CEP55-8;14;5;105;10;13;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;103;106;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;CEP55-8;15;24;89;10;12;19;20;82;84;91;92;1328;186;70;80;;-1;-1;-1;-1
EXP1;CEP55-8;16;12;47;9;11;98;99;31;33;120;121;1213;865;870;880;;33;121;1247;842
EXP1;CEP55-8;17;41;45,44;4;7;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;30;33;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1084;168;;;;-1;-1;-1;-1
EXP1;CEP55-8;18;0;40;9;12;123;124;23;26;137;138;662;442;1110;1120;;-1;-1;-1;-1
EXP1;CEP55-8;1;116;211;7;7;TOO_SHORT_CUT;TOO_SHORT_CUT;241;241;TOO_SHORT_CUT;TOO_SHORT_CUT;304;1002;;;;-1;-1;-1;-1
EXP1;CEP55-8;2;199;209;3;10;TOO_SHORT_CUT;TOO_SHORT_CUT;233;240;TOO_SHORT_CUT;TOO_SHORT_CUT;1438;207;;;;-1;-1;-1;-1
EXP1;CEP55-8;3;187;199;-7;5;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;219;231;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;CEP55-8;4;129;184;11;11;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;213;213;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;CEP55-8;5;96;179;8;11;TOO_SHORT_CUT;TOO_SHORT_CUT;208;211;TOO_SHORT_CUT;TOO_SHORT_CUT;1587;842;;;;-1;-1;-1;-1
EXP1;CEP55-8;6;46;161,156;8;12;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;180;184;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;948;818;;;;-1;-1;-1;-1
EXP1;CEP55-8;7;47;157,154;8;11;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;179;182;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1356;911;;;;182;214;1348;924
EXP1;CEP55-8;8;45;155;10;12;36;37;181;183;207;208;1073;527;240;250;;183;207;1064;523
EXP1;CEP55-8;9;12;146;5;12;23;NO_CUT_DETECTED;161;168;179;NO_CUT_DETECTED;1274;849;110;;;167;190;1306;863
EXP1;CEP55-9;0;192;309,296;-3;6;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;221;230;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;-1;-1;;;;-1;-1;-1;-1
EXP1;CEP55-9;10;191;236;7;12;TOO_SHORT_CUT;TOO_SHORT_CUT;186;191;TOO_SHORT_CUT;TOO_SHORT_CUT;1037;596;;;;-1;-1;-1;-1
EXP1;CEP55-9;11;146;228;8;11;NEAR_BORDER;NEAR_BORDER;179;182;NEAR_BORDER;NEAR_BORDER;1531;47;;;;-1;-1;-1;-1
EXP1;CEP55-9;12;57;216,206;-5;8;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;147;160;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;587;211;;;;-1;-1;-1;-1
EXP1;CEP55-9;13;91;212;9;12;NEAR_BORDER;NEAR_BORDER;163;166;NEAR_BORDER;NEAR_BORDER;1330;76;;;;-1;-1;-1;-1
EXP1;CEP55-9;14;137;194;10;14;NEAR_BORDER;NEAR_BORDER;147;151;NEAR_BORDER;NEAR_BORDER;862;2;;;;-1;-1;-1;-1
EXP1;CEP55-9;15;38;181;10;12;TOO_SHORT_CUT;TOO_SHORT_CUT;139;141;TOO_SHORT_CUT;TOO_SHORT_CUT;1006;984;;;;-1;-1;-1;-1
EXP1;CEP55-9;16;159;175;2;8;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;133;139;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;CEP55-9;17;36;171;8;12;TOO_SHORT_CUT;TOO_SHORT_CUT;132;136;TOO_SHORT_CUT;TOO_SHORT_CUT;1027;981;;;;136;168;956;989
EXP1;CEP55-9;18;135;167,154;6;12;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;121;127;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;335;766;;;;127;158;372;730
EXP1;CEP55-9;19;20;161;9;16;26;30;125;132;142;146;1418;538;100;140;;134;158;1351;447
EXP1;CEP55-9;1;280;304,285;3;3;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;225;225;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;378;681;;;;-1;-1;-1;-1
EXP1;CEP55-9;20;32;156;9;12;TOO_SHORT_CUT;TOO_SHORT_CUT;127;130;TOO_SHORT_CUT;TOO_SHORT_CUT;1092;156;;;;129;139;1052;160
EXP1;CEP55-9;21;58;148,147;7;12;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;120;125;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1021;334;;;;-1;-1;-1;-1
EXP1;CEP55-9;22;27;132,127;9;10;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;101;102;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1143;1083;;;;-1;-1;-1;-1
EXP1;CEP55-9;23;24;117;8;11;TOO_SHORT_CUT;TOO_SHORT_CUT;92;95;TOO_SHORT_CUT;TOO_SHORT_CUT;368;968;;;;-1;-1;-1;-1
EXP1;CEP55-9;24;7;106;8;13;TOO_SHORT_CUT;TOO_SHORT_CUT;76;81;TOO_SHORT_CUT;TOO_SHORT_CUT;813;402;;;;80;118;772;442
EXP1;CEP55-9;25;13;104;8;11;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;74;77;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;CEP55-9;26;15;85,73;-11;6;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;29;46;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;749;689;;;;-1;-1;-1;-1
EXP1;CEP55-9;27;44;84;8;11;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;54;57;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;CEP55-9;28;3;68;6;12;TOO_SHORT_CUT;TOO_SHORT_CUT;38;44;TOO_SHORT_CUT;TOO_SHORT_CUT;1230;47;;;;43;130;1267;54
EXP1;CEP55-9;29;1;57;7;14;74;75;25;32;92;93;453;197;600;610;;-1;-1;-1;-1
EXP1;CEP55-9;2;224;279,273,267,257;-2;3;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;204;209;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;-1;-1;;;;-1;-1;-1;-1
EXP1;CEP55-9;30;42;48;2;8;NEAR_BORDER;NEAR_BORDER;19;25;NEAR_BORDER;NEAR_BORDER;0;600;;;;-1;-1;-1;-1
EXP1;CEP55-9;31;14;37,32;1;4;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1;4;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1302;511;;;;-1;-1;-1;-1
EXP1;CEP55-9;3;106;278,27;8;11;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;216;219;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;594;364;;;;-1;-1;-1;-1
EXP1;CEP55-9;4;117;255;8;12;18;21;203;207;213;216;788;854;60;90;;207;230;783;912
EXP1;CEP55-9;5;106;253;-12;16;TOO_SHORT_CUT;TOO_SHORT_CUT;178;206;TOO_SHORT_CUT;TOO_SHORT_CUT;353;576;;;;-1;-1;-1;-1
EXP1;CEP55-9;6;68;251;9;12;TOO_SHORT_CUT;TOO_SHORT_CUT;201;204;TOO_SHORT_CUT;TOO_SHORT_CUT;1422;148;;;;204;221;1390;187
EXP1;CEP55-9;7;242;244;3;3;NO_CUT_DETECTED;NO_CUT_DETECTED;199;199;NO_CUT_DETECTED;NO_CUT_DETECTED;220;87;;;;-1;-1;-1;-1
EXP1;CEP55-9;8;105;243;6;11;NO_CUT_DETECTED;NO_CUT_DETECTED;193;198;NO_CUT_DETECTED;NO_CUT_DETECTED;105;64;;;;-1;-1;-1;-1
EXP1;CEP55-9;9;115;238,237;4;11;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;185;192;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;828;560;;;;-1;-1;-1;-1
EXP1;MICAL1-10;0;346;362;11;13;NEAR_BORDER;NEAR_BORDER;241;243;NEAR_BORDER;NEAR_BORDER;1165;1058;;;;-1;-1;-1;-1
EXP1;MICAL1-10;10;28;303;5;11;NO_CUT_DETECTED;NO_CUT_DETECTED;194;200;NO_CUT_DETECTED;NO_CUT_DETECTED;1553;970;;;;200;221;1553;963
EXP1;MICAL1-10;11;185;299;9;12;TOO_SHORT_CUT;TOO_SHORT_CUT;192;195;TOO_SHORT_CUT;TOO_SHORT_CUT;494;577;;;;194;202;421;541
EXP1;MICAL1-10;12;135;286,279;6;8;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;183;185;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;783;390;;;;-1;-1;-1;-1
EXP1;MICAL1-10;13;82;269;11;15;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;170;174;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;MICAL1-10;14;32;204;7;11;26;27;121;125;140;141;1215;1022;150;160;;125;140;1189;1029
EXP1;MICAL1-10;15;2;175,170,167;6;13;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;93;100;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;816;156;;;;98;109;811;186
EXP1;MICAL1-10;16;8;159,149;7;12;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;82;87;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;-1;-1;;;;-1;-1;-1;-1
EXP1;MICAL1-10;17;149;155;2;4;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;88;90;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;MICAL1-10;18;119;139;10;11;TOO_SHORT_CUT;TOO_SHORT_CUT;79;80;TOO_SHORT_CUT;TOO_SHORT_CUT;717;441;;;;-1;-1;-1;-1
EXP1;MICAL1-10;19;28;108;9;12;TOO_SHORT_CUT;TOO_SHORT_CUT;55;58;TOO_SHORT_CUT;TOO_SHORT_CUT;1183;772;;;;58;82;1202;803
EXP1;MICAL1-10;1;340;353;2;10;TOO_SHORT_CUT;TOO_SHORT_CUT;227;235;TOO_SHORT_CUT;TOO_SHORT_CUT;1079;138;;;;-1;-1;-1;-1
EXP1;MICAL1-10;20;19;104;6;20;TOO_SHORT_CUT;TOO_SHORT_CUT;42;56;TOO_SHORT_CUT;TOO_SHORT_CUT;672;657;;;;-1;-1;-1;-1
EXP1;MICAL1-10;21;18;82;2;10;27;30;31;39;56;59;1102;654;170;200;;39;56;1038;657
EXP1;MICAL1-10;22;11;75;6;11;30;31;28;33;52;53;1419;205;190;200;;33;52;1418;196
EXP1;MICAL1-10;2;142;349;10;13;26;27;228;231;244;245;708;723;130;140;;230;245;732;721
EXP1;MICAL1-10;3;280;344;7;11;22;25;224;228;239;242;1336;484;110;140;;228;241;1320;503
EXP1;MICAL1-10;4;250;343;7;11;TOO_SHORT_CUT;TOO_SHORT_CUT;224;228;TOO_SHORT_CUT;TOO_SHORT_CUT;742;220;;;;228;237;800;230
EXP1;MICAL1-10;5;237;340;7;9;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;224;226;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;MICAL1-10;6;167;339;7;11;TOO_SHORT_CUT;TOO_SHORT_CUT;222;226;TOO_SHORT_CUT;TOO_SHORT_CUT;559;58;;;;226;232;546;64
EXP1;MICAL1-10;7;212;336;9;11;NO_CUT_DETECTED;NO_CUT_DETECTED;220;222;NO_CUT_DETECTED;NO_CUT_DETECTED;664;969;;;;222;251;633;943
EXP1;MICAL1-10;8;234;335;10;11;22;22;221;222;233;233;530;332;110;110;;222;233;529;338
EXP1;MICAL1-10;9;108;305;10;13;30;32;199;202;219;221;955;903;170;190;;202;220;1064;879
EXP1;MICAL1-11;0;212;317;2;11;NO_CUT_DETECTED;NO_CUT_DETECTED;234;243;NO_CUT_DETECTED;NO_CUT_DETECTED;1079;658;;;;-1;-1;-1;-1
EXP1;MICAL1-11;10;1;163;9;12;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;114;117;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;MICAL1-11;11;10;152;9;12;29;35;107;110;127;133;1128;530;170;230;;109;118;1133;561
EXP1;MICAL1-11;12;86;140;8;11;24;NO_CUT_DETECTED;96;99;112;NO_CUT_DETECTED;996;613;130;;;99;109;1082;669
EXP1;MICAL1-11;1;270;313;8;10;TOO_SHORT_CUT;TOO_SHORT_CUT;239;241;TOO_SHORT_CUT;TOO_SHORT_CUT;494;489;;;;-1;-1;-1;-1
EXP1;MICAL1-11;2;152;311;9;12;TOO_SHORT_CUT;TOO_SHORT_CUT;236;239;TOO_SHORT_CUT;TOO_SHORT_CUT;1367;605;;;;-1;-1;-1;-1
EXP1;MICAL1-11;3;197;307;8;12;TOO_SHORT_CUT;TOO_SHORT_CUT;233;237;TOO_SHORT_CUT;TOO_SHORT_CUT;1018;425;;;;-1;-1;-1;-1
EXP1;MICAL1-11;4;224;285;9;16;TOO_SHORT_CUT;TOO_SHORT_CUT;213;220;TOO_SHORT_CUT;TOO_SHORT_CUT;980;327;;;;-1;-1;-1;-1
EXP1;MICAL1-11;5;192;269;10;12;TOO_SHORT_CUT;TOO_SHORT_CUT;204;206;TOO_SHORT_CUT;TOO_SHORT_CUT;1061;1025;;;;206;213;1070;1052
EXP1;MICAL1-11;6;203;267;7;12;TOO_SHORT_CUT;TOO_SHORT_CUT;201;206;TOO_SHORT_CUT;TOO_SHORT_CUT;72;328;;;;205;215;97;365
EXP1;MICAL1-11;7;11;245;-2;11;NEAR_BORDER;NEAR_BORDER;174;187;NEAR_BORDER;NEAR_BORDER;1598;711;;;;-1;-1;-1;-1
EXP1;MICAL1-11;8;13;186;9;11;NO_CUT_DETECTED;NO_CUT_DETECTED;134;136;NO_CUT_DETECTED;NO_CUT_DETECTED;284;744;;;;-1;-1;-1;-1
EXP1;MICAL1-11;9;4;185,178;6;11;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;125;130;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;640;440;;;;130;149;667;404
EXP1;MICAL1-1;0;154;286;6;11;TOO_SHORT_CUT;TOO_SHORT_CUT;237;242;TOO_SHORT_CUT;TOO_SHORT_CUT;240;217;;;;-1;-1;-1;-1
EXP1;MICAL1-1;10;86;105;8;12;18;18;75;79;85;85;77;171;60;60;;-1;-1;-1;-1
EXP1;MICAL1-1;11;2;91;4;10;NEAR_BORDER;NEAR_BORDER;60;66;NEAR_BORDER;NEAR_BORDER;1486;115;;;;65;79;1500;138
EXP1;MICAL1-1;12;66;83;5;13;TOO_SHORT_CUT;TOO_SHORT_CUT;49;57;TOO_SHORT_CUT;TOO_SHORT_CUT;812;639;;;;-1;-1;-1;-1
EXP1;MICAL1-1;13;23;42;7;11;25;28;15;19;33;36;1503;134;140;170;;19;34;1518;160
EXP1;MICAL1-1;14;10;38;3;13;TOO_SHORT_CUT;TOO_SHORT_CUT;4;14;TOO_SHORT_CUT;TOO_SHORT_CUT;1263;262;;;;-1;-1;-1;-1
EXP1;MICAL1-1;1;263;269;2;5;TOO_SHORT_CUT;TOO_SHORT_CUT;225;228;TOO_SHORT_CUT;TOO_SHORT_CUT;103;973;;;;-1;-1;-1;-1
EXP1;MICAL1-1;2;42;257,242;7;9;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;211;213;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1579;9;;;;-1;-1;-1;-1
EXP1;MICAL1-1;3;242;253;3;7;TOO_SHORT_CUT;TOO_SHORT_CUT;215;219;TOO_SHORT_CUT;TOO_SHORT_CUT;1398;88;;;;-1;-1;-1;-1
EXP1;MICAL1-1;4;10;238;9;12;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;208;211;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;MICAL1-1;5;66;223;-4;11;NO_CUT_DETECTED;NO_CUT_DETECTED;186;201;NO_CUT_DETECTED;NO_CUT_DETECTED;792;785;;;;200;211;750;725
EXP1;MICAL1-1;6;33;201;9;12;TOO_SHORT_CUT;TOO_SHORT_CUT;178;181;TOO_SHORT_CUT;TOO_SHORT_CUT;622;720;;;;-1;-1;-1;-1
EXP1;MICAL1-1;7;12;186;8;12;21;24;165;169;178;181;615;756;90;120;;169;179;650;750
EXP1;MICAL1-1;8;129;151,146;8;15;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;119;126;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;-1;-1;;;;-1;-1;-1;-1
EXP1;MICAL1-1;9;6;110;8;11;TOO_SHORT_CUT;TOO_SHORT_CUT;84;87;TOO_SHORT_CUT;TOO_SHORT_CUT;106;982;;;;-1;-1;-1;-1
EXP1;MICAL1-2;0;134;374;11;12;TOO_SHORT_CUT;TOO_SHORT_CUT;236;237;TOO_SHORT_CUT;TOO_SHORT_CUT;843;885;;;;-1;-1;-1;-1
EXP1;MICAL1-2;10;181;267;9;12;NO_CUT_DETECTED;NO_CUT_DETECTED;164;167;NO_CUT_DETECTED;NO_CUT_DETECTED;536;69;;;;-1;-1;-1;-1
EXP1;MICAL1-2;11;34;261;8;12;NO_CUT_DETECTED;NO_CUT_DETECTED;156;160;NO_CUT_DETECTED;NO_CUT_DETECTED;595;918;;;;-1;-1;-1;-1
EXP1;MICAL1-2;12;108;253;6;20;NEAR_BORDER;NEAR_BORDER;143;157;NEAR_BORDER;NEAR_BORDER;145;112;;;;-1;-1;-1;-1
EXP1;MICAL1-2;13;5;250,236;9;11;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;144;146;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1062;312;;;;-1;-1;-1;-1
EXP1;MICAL1-2;14;72;245;7;15;TOO_SHORT_CUT;TOO_SHORT_CUT;144;152;TOO_SHORT_CUT;TOO_SHORT_CUT;896;151;;;;-1;-1;-1;-1
EXP1;MICAL1-2;15;186;224;10;10;TOO_SHORT_CUT;TOO_SHORT_CUT;138;138;TOO_SHORT_CUT;TOO_SHORT_CUT;1369;943;;;;140;147;1350;930
EXP1;MICAL1-2;16;91;220;6;11;TOO_SHORT_CUT;TOO_SHORT_CUT;131;136;TOO_SHORT_CUT;TOO_SHORT_CUT;670;747;;;;136;144;668;752
EXP1;MICAL1-2;17;81;179;6;12;23;24;103;109;120;121;438;676;110;120;;109;121;436;686
EXP1;MICAL1-2;18;126;177;11;13;21;26;107;109;117;122;269;459;80;130;;107;122;270;450
EXP1;MICAL1-2;19;23;142;7;10;TOO_SHORT_CUT;TOO_SHORT_CUT;81;84;TOO_SHORT_CUT;TOO_SHORT_CUT;212;853;;;;84;95;215;860
EXP1;MICAL1-2;1;27;368,367,357;-12;10;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;207;229;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1070;678;;;;-1;-1;-1;-1
EXP1;MICAL1-2;20;22;134;5;11;23;26;76;82;94;97;878;833;120;150;;82;94;900;825
EXP1;MICAL1-2;21;28;36;3;7;18;20;4;8;19;21;514;580;110;130;;-1;-1;-1;-1
EXP1;MICAL1-2;22;17;34,28;2;2;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;2;2;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;-1;-1;;;;-1;-1;-1;-1
EXP1;MICAL1-2;2;330;356,347;9;9;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;225;225;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;8;548;;;;-1;-1;-1;-1
EXP1;MICAL1-2;3;134;354,353;6;12;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;221;227;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;911;849;;;;227;235;850;885
EXP1;MICAL1-2;4;299;340;10;12;NEAR_BORDER;NEAR_BORDER;222;224;NEAR_BORDER;NEAR_BORDER;723;11;;;;-1;-1;-1;-1
EXP1;MICAL1-2;5;129;331;10;12;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;213;215;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;MICAL1-2;6;10;324;9;12;21;23;209;212;221;223;1069;487;90;110;;-1;-1;-1;-1
EXP1;MICAL1-2;7;108;319,312;11;12;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;204;205;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;155;182;;;;-1;-1;-1;-1
EXP1;MICAL1-2;8;279;317;-21;12;NEAR_BORDER;NEAR_BORDER;175;208;NEAR_BORDER;NEAR_BORDER;1047;1049;;;;-1;-1;-1;-1
EXP1;MICAL1-2;9;191;308;11;12;19;20;202;203;210;211;541;474;70;80;;203;211;600;500
EXP1;MICAL1-3;0;359;435;8;10;TOO_SHORT_CUT;TOO_SHORT_CUT;241;243;TOO_SHORT_CUT;TOO_SHORT_CUT;85;833;;;;-1;-1;-1;-1
EXP1;MICAL1-3;10;348;366;9;12;18;22;200;203;209;213;803;871;60;100;;203;214;809;870
EXP1;MICAL1-3;11;6;365;9;12;20;22;199;202;210;212;677;586;80;100;;202;212;664;615
EXP1;MICAL1-3;12;234;345,333;9;12;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;181;184;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;407;829;;;;184;195;354;836
EXP1;MICAL1-3;13;102;328;9;11;TOO_SHORT_CUT;TOO_SHORT_CUT;180;182;TOO_SHORT_CUT;TOO_SHORT_CUT;1166;497;;;;-1;-1;-1;-1
EXP1;MICAL1-3;14;201;326;8;15;TOO_SHORT_CUT;TOO_SHORT_CUT;174;181;TOO_SHORT_CUT;TOO_SHORT_CUT;1413;944;;;;-1;-1;-1;-1
EXP1;MICAL1-3;15;99;324;9;19;TOO_SHORT_CUT;TOO_SHORT_CUT;170;180;TOO_SHORT_CUT;TOO_SHORT_CUT;1055;222;;;;-1;-1;-1;-1
EXP1;MICAL1-3;16;154;314;8;10;18;20;172;174;182;184;1355;285;80;100;;175;182;1400;300
EXP1;MICAL1-3;17;108;307;8;17;TOO_SHORT_CUT;TOO_SHORT_CUT;161;170;TOO_SHORT_CUT;TOO_SHORT_CUT;1158;514;;;;-1;-1;-1;-1
EXP1;MICAL1-3;18;209;301;8;11;TOO_SHORT_CUT;TOO_SHORT_CUT;161;164;TOO_SHORT_CUT;TOO_SHORT_CUT;1248;235;;;;-1;-1;-1;-1
EXP1;MICAL1-3;19;103;297,295;9;11;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;160;162;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1135;699;;;;162;171;1130;776
EXP1;MICAL1-3;1;369;411;6;16;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;217;227;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;MICAL1-3;20;40;288;9;12;31;32;155;158;177;178;480;288;190;200;;-1;-1;-1;-1
EXP1;MICAL1-3;21;128;286,28;10;11;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;152;153;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;380;771;;;;-1;-1;-1;-1
EXP1;MICAL1-3;22;274;285;5;10;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;151;156;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
