exp;video;id;mother track;daughter track(s);metaphase frame - mitosis video;cytokinesis frame - mitosis video;first MT cut frame - mitosis video;second MT cut frame - mitosis video;metaphase frame;cytokinesis frame;first MT cut frame;second MT cut frame;position midbody x;position midbody y;first MT cut time;second MT cut time;;matched cytokinesis frame;matched cut frame;matched position midbody x;matched position midbody y
EXP1;Control-1;12;14;150,149;7;13;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;99;105;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;32;778;;;;-1;-1;-1;-1
EXP1;Control-1;13;16;128;8;12;18;19;82;86;92;93;1576;779;60;70;;86;97;1566;766
EXP1;Control-1;14;9;109,98;7;10;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;61;64;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;965;501;;;;65;75;956;513
EXP1;Control-1;15;17;107;8;13;NO_CUT_DETECTED;NO_CUT_DETECTED;65;70;NO_CUT_DETECTED;NO_CUT_DETECTED;1298;842;;;;68;80;1210;864
EXP1;Control-1;16;2;95;6;18;NEAR_BORDER;NEAR_BORDER;50;62;NEAR_BORDER;NEAR_BORDER;937;151;;;;-1;-1;-1;-1
EXP1;Control-1;17;7;61;9;11;NO_CUT_DETECTED;NO_CUT_DETECTED;36;38;NO_CUT_DETECTED;NO_CUT_DETECTED;655;127;;;;39;58;603;106
EXP1;Control-1;18;19;50;7;15;TOO_SHORT_CUT;TOO_SHORT_CUT;19;27;TOO_SHORT_CUT;TOO_SHORT_CUT;791;945;;;;-1;-1;-1;-1
EXP1;Control-1;19;0;40;8;10;NO_CUT_DETECTED;NO_CUT_DETECTED;16;18;NO_CUT_DETECTED;NO_CUT_DETECTED;104;53;;;;-1;-1;-1;-1
EXP1;Control-1;1;16;275;10;12;TOO_SHORT_CUT;TOO_SHORT_CUT;209;211;TOO_SHORT_CUT;TOO_SHORT_CUT;1557;832;;;;211;221;1558;836
EXP1;Control-1;20;15;34,3;2;5;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;2;5;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;568;691;;;;-1;-1;-1;-1
EXP1;Control-1;21;18;26;1;3;TOO_SHORT_CUT;TOO_SHORT_CUT;1;3;TOO_SHORT_CUT;TOO_SHORT_CUT;181;885;;;;-1;-1;-1;-1
EXP1;Control-1;2;109;273;8;12;19;20;204;208;215;216;1110;479;70;80;;209;216;1104;470
EXP1;Control-1;3;170;267;-21;3;23;26;180;204;224;227;658;499;200;230;;206;224;663;499
EXP1;Control-1;4;242;260;8;18;TOO_SHORT_CUT;TOO_SHORT_CUT;190;200;TOO_SHORT_CUT;TOO_SHORT_CUT;508;279;;;;-1;-1;-1;-1
EXP1;Control-1;5;120;256;8;12;TOO_SHORT_CUT;TOO_SHORT_CUT;192;196;TOO_SHORT_CUT;TOO_SHORT_CUT;1307;1082;;;;-1;-1;-1;-1
EXP1;Control-1;6;221;254;5;19;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;180;194;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-1;7;107;252;7;11;20;23;188;192;201;204;1223;806;90;120;;-1;-1;-1;-1
EXP1;Control-1;8;11;228;9;11;35;46;167;169;193;204;1244;535;240;350;;171;204;1310;507
EXP1;Control-1;9;21;224;-5;11;NEAR_BORDER;NEAR_BORDER;150;166;NEAR_BORDER;NEAR_BORDER;1115;1036;;;;-1;-1;-1;-1
EXP1;Control-2;0;279;294;9;11;NEAR_BORDER;NEAR_BORDER;232;234;NEAR_BORDER;NEAR_BORDER;1598;0;;;;-1;-1;-1;-1
EXP1;Control-2;10;9;155;9;13;TOO_SHORT_CUT;TOO_SHORT_CUT;135;139;TOO_SHORT_CUT;TOO_SHORT_CUT;369;432;;;;139;150;426;500
EXP1;Control-2;11;10;114;7;11;25;28;104;108;122;125;1494;591;140;170;;-1;-1;-1;-1
EXP1;Control-2;12;0;110;9;13;26;27;101;105;118;119;150;202;130;140;;-1;-1;-1;-1
EXP1;Control-2;13;4;105;9;12;30;32;99;102;120;122;705;121;180;200;;102;121;751;211
EXP1;Control-2;14;89;101;8;11;TOO_SHORT_CUT;TOO_SHORT_CUT;96;99;TOO_SHORT_CUT;TOO_SHORT_CUT;973;331;;;;101;115;968;324
EXP1;Control-2;15;19;98;9;11;TOO_SHORT_CUT;TOO_SHORT_CUT;94;96;TOO_SHORT_CUT;TOO_SHORT_CUT;922;622;;;;97;127;1016;566
EXP1;Control-2;16;5;91;4;11;NO_CUT_DETECTED;NO_CUT_DETECTED;78;85;NO_CUT_DETECTED;NO_CUT_DETECTED;1359;236;;;;86;96;1349;248
EXP1;Control-2;17;72;84;8;19;TOO_SHORT_CUT;TOO_SHORT_CUT;63;74;TOO_SHORT_CUT;TOO_SHORT_CUT;24;377;;;;-1;-1;-1;-1
EXP1;Control-2;18;68;82;9;11;23;25;66;68;80;82;1096;916;120;140;;69;81;1103;927
EXP1;Control-2;19;29;51;4;15;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;24;35;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-2;1;110;292,289;3;10;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;225;232;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;16;91;;;;-1;-1;-1;-1
EXP1;Control-2;20;9;47;11;11;35;37;33;33;57;59;443;642;240;260;;35;57;493;733
EXP1;Control-2;2;0;283;7;11;19;24;223;227;235;240;266;253;80;130;;227;239;266;258
EXP1;Control-2;3;1;262;11;12;20;22;211;212;220;222;389;189;80;100;;212;221;391;192
EXP1;Control-2;4;5;242;8;11;TOO_SHORT_CUT;TOO_SHORT_CUT;198;201;TOO_SHORT_CUT;TOO_SHORT_CUT;1194;271;;;;-1;-1;-1;-1
EXP1;Control-2;5;147;240;6;12;18;18;192;198;204;204;826;82;60;60;;-1;-1;-1;-1
EXP1;Control-2;6;13;231;10;12;28;32;185;187;203;207;1134;838;160;200;;-1;-1;-1;-1
